organization_name,name,type,description,amount,level,field_id,location,deadline,success_rate,requirements,benefits,contact_email,contact_phone,website_url,status,created_at,updated_at,study_levels,fields_supported,eligible_programs,application_url,processing_time_weeks,applicant_count,rating,review_count,eligibility_requirements,benefits_json,selection_process,partner_universities
Ministry of Higher Education Malaysia,Future Leaders Scholarship 1,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (1).,47385,foundation,5,Malaysia,2026-06-20,63.83,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship1@example.edu.my,+603-72458591,https://www.scholarship1.org,active,2026-01-01T14:57:56.635099,,{foundation},"{8,5}","{22,26,35,74,94}",https://apply.scholarship1.org,10,404,3.38,168,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""interview"", ""final_review"", ""written_test"", ""document_screening""], ""duration_weeks"": 2, ""interview_required"": true}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}]"
Corporate Education Trust,Innovation Talent Award 2,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (2).,99112,diploma,12,Selangor,2026-09-17,64.91,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship2@example.edu.my,+603-76708456,https://www.scholarship2.org,active,2026-01-01T14:57:56.635261,,{diploma},"{1,2}","{99,69}",https://apply.scholarship2.org,7,551,4.3,68,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": true, ""amount"": 1942, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""interview"", ""final_review"", ""written_test"", ""document_screening""], ""duration_weeks"": 3, ""interview_required"": true}","[{""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Youth Development Scholarship 3,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (3).,76192,degree,5,Penang,2026-06-30,39.61,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship3@example.edu.my,+603-72166941,https://www.scholarship3.org,active,2026-01-01T14:57:56.635322,,"{diploma,degree}","{6,5}","{47,83}",https://apply.scholarship3.org,11,947,3.2,110,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": null, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""final_review"", ""interview"", ""document_screening""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}]"
Yayasan Pendidikan Nasional,Higher Education Support Scheme 4,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (4).,129213,degree,8,Malaysia,2026-07-31,60.46,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship4@example.edu.my,+603-73871230,https://www.scholarship4.org,active,2026-01-01T14:57:56.635388,,"{diploma,degree}","{9,1,5}","{94,67,31,38}",https://apply.scholarship4.org,7,866,4.92,48,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 841, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""document_screening"", ""written_test"", ""interview"", ""final_review""], ""duration_weeks"": 6, ""interview_required"": true}","[{""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Private Education Foundation,Youth Development Scholarship 5,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (5).,77502,degree,7,Selangor,2026-05-19,62.77,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship5@example.edu.my,+603-77637601,https://www.scholarship5.org,active,2026-01-01T14:57:56.635454,,{degree},{5},"{64,92,74,13}",https://apply.scholarship5.org,12,781,4.86,149,"{""cgpa"": "">=3.0"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": false, ""monthly_allowance"": false, ""amount"": 770, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""document_screening"", ""written_test"", ""final_review"", ""interview""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
Corporate Education Trust,Innovation Talent Award 6,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (6).,78199,foundation,12,Selangor,2026-02-24,69.6,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship6@example.edu.my,+603-78082668,https://www.scholarship6.org,active,2026-01-01T14:57:56.635507,,"{foundation,diploma}","{12,5}","{7,10}",https://apply.scholarship6.org,7,52,3.56,143,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 948, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""final_review"", ""written_test""], ""duration_weeks"": 8, ""interview_required"": false}","[{""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Putra Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}]"
Ministry of Higher Education Malaysia,Higher Education Support Scheme 7,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (7).,148204,diploma,5,Kuala Lumpur,2026-09-10,78.59,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship7@example.edu.my,+603-73997281,https://www.scholarship7.org,active,2026-01-01T14:57:56.635555,,{diploma},{9},"{63,50,48,59}",https://apply.scholarship7.org,12,984,4.18,91,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 861, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""final_review"", ""interview"", ""document_screening""], ""duration_weeks"": 5, ""interview_required"": true}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Private Education Foundation,Future Leaders Scholarship 8,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (8).,127919,foundation,8,Malaysia,2026-06-02,34.28,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship8@example.edu.my,+603-79153566,https://www.scholarship8.org,active,2026-01-01T14:57:56.635607,,"{foundation,diploma}","{12,4}","{47,37,19,9}",https://apply.scholarship8.org,9,716,4.04,24,"{""cgpa"": "">=2.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 25}","{""tuition_coverage"": false, ""monthly_allowance"": true, ""amount"": 1750, ""accommodation"": false, ""books_supplies"": false}","{""stages"": [""document_screening"", ""final_review""], ""duration_weeks"": 8, ""interview_required"": false}","[{""name"": ""Universiti Kebangsaan Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Sunway University"", ""country"": ""Malaysia""}, {""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}]"
Private Education Foundation,Merit-Based Academic Scholarship 9,Other,This scholarship supports students pursuing higher education with strong academic performance (9).,74113,degree,4,Malaysia,2026-08-10,42.4,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship9@example.edu.my,+603-72074176,https://www.scholarship9.org,active,2026-01-01T14:57:56.635659,,{degree},"{6,3,2}","{49,1,22,24,96}",https://apply.scholarship9.org,12,285,4.04,153,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 17, ""age_max"": 35}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": 1814, ""accommodation"": false, ""books_supplies"": true}","{""stages"": [""document_screening"", ""interview"", ""written_test"", ""final_review""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
International Education Council,Future Leaders Scholarship 10,Merit-based,This scholarship supports students pursuing higher education with strong academic performance (10).,44268,diploma,1,Penang,2026-06-22,36.62,Minimum CGPA 3.0 and active participation in extracurricular activities.,Tuition fee coverage and monthly allowance.,scholarship10@example.edu.my,+603-78930103,https://www.scholarship10.org,active,2026-01-01T14:57:56.635706,,"{diploma,degree}","{5,6}",{18},https://apply.scholarship10.org,9,681,3.08,187,"{""cgpa"": "">=3.5"", ""nationality"": ""Malaysian"", ""age_min"": 18, ""age_max"": 30}","{""tuition_coverage"": true, ""monthly_allowance"": false, ""amount"": null, ""accommodation"": true, ""books_supplies"": true}","{""stages"": [""document_screening"", ""interview""], ""duration_weeks"": 8, ""interview_required"": true}","[{""name"": ""Universiti Sains Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Taylor's University"", ""country"": ""Malaysia""}, {""name"": ""University of Malaya"", ""country"": ""Malaysia""}, {""name"": ""Universiti Teknologi Malaysia"", ""country"": ""Malaysia""}, {""name"": ""Monash University Malaysia"", ""country"": ""Malaysia""}]"
